,City,Country,Date,Max Temp,Cloudiness,Wind Speed,Humidity,Latitude,Longitude
0,Saskylakh,RU,1619474685,2.98,97,4.52,97,71.9167,114.0833
1,Iquique,CL,1619474447,68.0,0,12.66,68,-20.2208,-70.1431
2,Qaanaaq,GL,1619474685,39.36,92,7.27,70,77.484,-69.3632
3,Atuona,PF,1619474685,79.72,73,15.32,76,-9.8,-139.0333
4,Butaritari,KI,1619474686,83.32,90,12.93,75,3.0707,172.7902
5,Rikitea,PF,1619474440,77.58,74,8.68,74,-23.1203,-134.9692
6,Mataura,NZ,1619474686,44.01,98,5.01,85,-46.1927,168.8643
7,Lavrentiya,RU,1619474439,31.51,99,2.37,83,65.5833,-171.0
8,Kapaa,US,1619474686,78.8,1,12.66,65,22.0752,-159.319
9,Khatanga,RU,1619474687,18.41,100,14.41,88,71.9667,102.5
10,Shīeli,KZ,1619474687,61.83,5,3.18,28,44.1667,66.75
11,Saint-Philippe,RE,1619474688,77.0,75,9.22,73,-21.3585,55.7679
12,Busselton,AU,1619474440,55.99,100,3.44,93,-33.65,115.3333
13,College,US,1619474689,60.8,75,4.74,26,64.8569,-147.8028
14,Talnakh,RU,1619474689,10.22,93,9.06,82,69.4865,88.3972
15,Saint Paul Harbor,US,1619474690,44.6,90,10.36,76,57.79,-152.4072
16,Nova Viçosa,BR,1619474576,77.47,76,10.47,78,-17.8919,-39.3719
17,Tiksi,RU,1619474690,16.14,100,10.58,93,71.6872,128.8694
18,Rapid Valley,US,1619474690,61.0,90,11.5,58,44.0625,-103.1463
19,Ushuaia,AR,1619474648,44.6,75,3.44,81,-54.8,-68.3
20,Iqaluit,CA,1619474691,28.4,90,24.16,86,63.7506,-68.5145
21,Saint-Joseph,RE,1619474691,77.0,75,9.22,73,-21.3667,55.6167
22,Vardø,NO,1619474692,28.4,20,11.5,74,70.3705,31.1107
23,Manzhouli,CN,1619474692,33.55,100,27.04,60,49.6,117.4333
24,Dera Ghazi Khan,PK,1619474501,85.87,0,2.53,13,30.0561,70.6348
25,Adrar,MR,1619474692,86.85,37,9.98,18,20.5022,-10.0711
26,Dikson,RU,1619474693,31.78,100,17.69,98,73.5069,80.5464
27,Hermanus,ZA,1619474693,62.01,60,1.01,85,-34.4187,19.2345
28,Clyde River,CA,1619474427,24.8,90,3.44,100,70.4692,-68.5914
29,Zhezkazgan,KZ,1619474694,57.04,100,8.01,43,47.8043,67.7144
30,Tongliao,CN,1619474694,54.01,100,15.05,40,43.6125,122.2653
31,Hofn,IS,1619474694,38.91,16,4.16,73,64.2539,-15.2082
32,Provideniya,RU,1619474695,37.4,0,4.47,70,64.3833,-173.3
33,São João da Barra,BR,1619474695,78.8,0,13.8,73,-21.6403,-41.0511
34,Nāhan,IN,1619474695,73.69,0,5.91,21,30.55,77.3
35,Mar del Plata,AR,1619474549,60.8,0,5.75,67,-38.0023,-57.5575
36,Cape Town,ZA,1619474657,63.0,75,18.41,88,-33.9258,18.4232
37,Barrow,US,1619474465,19.4,1,19.57,73,71.2906,-156.7887
38,Saint George,US,1619474696,57.0,100,9.24,51,37.1041,-113.5841
39,Kanlagay,PH,1619474696,80.33,100,0.92,79,5.8757,121.2915
40,Seymchan,RU,1619474697,9.46,17,4.29,82,62.8833,152.4333
41,Avarua,CK,1619474697,80.6,45,4.61,78,-21.2078,-159.775
42,Haines Junction,CA,1619474698,53.6,48,2.3,26,60.7522,-137.5108
43,Dukat,RU,1619474698,17.15,5,5.23,78,62.55,155.55
44,Takoradze,GH,1619474698,81.5,77,8.39,86,4.8845,-1.7554
45,Srednekolymsk,RU,1619474699,22.73,22,5.93,77,67.45,153.6833
46,Am Timan,TD,1619474699,90.75,44,3.38,26,11.0297,20.2827
